#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG3193	KOG3193	1	0.266789	4.9e-05	K+ channel subunit
KOG3194	KOG3194	1	0.870967	0.000162	Checkpoint 9-1-1 complex, RAD1 component
KOG3195	KOG3195	1	0.821596	0.000153	Uncharacterized membrane protein NPD008/CGI-148
KOG3196	KOG3196	1	0.88412	0.000165	NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit
KOG3197	KOG3197	1	0.847619	0.000158	Predicted hydrolases of HD superfamily
KOG3198	KOG3198	1	0.861842	0.000161	Signal recognition particle, subunit Srp19
KOG3200	KOG3200	2	1.861607	0.000348	Uncharacterized conserved protein
KOG3201	KOG3201	4	2.258706	0.000422	Uncharacterized conserved protein
KOG3202	KOG3202	2	1.212765	0.000226	SNARE protein TLG1/Syntaxin 6
KOG3203	KOG3203	1	0.775757	0.000145	Mitochondrial/chloroplast ribosomal protein L13
KOG3204	KOG3204	1	0.878172	0.000164	60S ribosomal protein L13a
KOG3206	KOG3206	2	1.8547	0.000346	Alpha-tubulin folding cofactor B
KOG3207	KOG3207	1	0.879207	0.000164	Beta-tubulin folding cofactor E
KOG3208	KOG3208	1	0.965367	0.00018	SNARE protein GS28
KOG3209	KOG3209	3	0.288617	5.3e-05	WW domain-containing protein
KOG3210	KOG3210	1	0.902654	0.000168	Imidazoleglycerol-phosphate synthase subunit H-like
KOG3211	KOG3211	3	2.713043	0.000507	Predicted endoplasmic reticulum membrane protein Lec35/MPDU1 involved in monosaccharide-P-dolichol utilization
KOG3212	KOG3212	1	0.490384	9.1e-05	Uncharacterized conserved protein related to IojAP
KOG3213	KOG3213	4	2.827731	0.000528	Transcription factor IIB
KOG3214	KOG3214	1	0.834862	0.000156	Uncharacterized Zn ribbon-containing protein
KOG3215	KOG3215	1	0.554054	0.000103	Uncharacterized conserved protein
KOG3216	KOG3216	1	0.662576	0.000123	Diamine acetyltransferase
KOG3218	KOG3218	2	1.889423	0.000353	RNA polymerase, 25-kDa subunit (common to polymerases I, II and III)
KOG3219	KOG3219	1	0.56923	0.000106	Transcription initiation factor TFIID, subunit TAF11
KOG3220	KOG3220	2	1.915555	0.000358	Similar to bacterial dephospho-CoA kinase
KOG3222	KOG3222	3	2.835897	0.00053	Inosine triphosphate pyrophosphatase
KOG3223	KOG3223	1	0.461538	8.6e-05	Uncharacterized conserved protein
KOG3224	KOG3224	1	0.866906	0.000162	Uncharacterized conserved protein
KOG3225	KOG3225	1	0.696428	0.00013	Mitochondrial import inner membrane translocase, subunit TIM22
KOG3228	KOG3228	1	0.995575	0.000186	Uncharacterized conserved protein
KOG3229	KOG3229	1	0.766519	0.000143	Vacuolar sorting protein VPS24
KOG3230	KOG3230	4	3.544642	0.000663	Vacuolar assembly/sorting protein DID4
KOG3232	KOG3232	1	0.965517	0.00018	Vacuolar assembly/sorting protein DID2
KOG3233	KOG3233	1	0.777777	0.000145	RNA polymerase III, subunit C34
KOG3234	KOG3234	1	0.994219	0.000185	Acetyltransferase, (GNAT) family
KOG3235	KOG3235	2	1.373056	0.000256	Subunit of the major N alpha-acetyltransferase
KOG3237	KOG3237	1	1	0.000187	Uncharacterized conserved protein
KOG3239	KOG3239	1	0.953367	0.000178	Density-regulated protein related to translation initiation factor 1 (eIF-1/SUI1)
KOG3240	KOG3240	1	0.866972	0.000162	Phosphatidylinositol synthase
KOG3241	KOG3241	1	0.629955	0.000117	Uncharacterized conserved protein
KOG3243	KOG3243	1	0.974683	0.000182	6,7-dimethyl-8-ribityllumazine synthase
KOG3244	KOG3244	1	0.797752	0.000149	Protein involved in ubiquinone biosynthesis
KOG3245	KOG3245	1	0.283018	5.2e-05	Uncharacterized conserved protein
KOG3246	KOG3246	4	2.121076	0.000396	Sentrin-specific cysteine protease (Ulp1 family)
KOG3247	KOG3247	1	0.929184	0.000173	Uncharacterized conserved protein
KOG3249	KOG3249	1	0.320441	5.9e-05	Uncharacterized conserved protein
KOG3250	KOG3250	1	0.674418	0.000126	COP9 signalosome, subunit CSN7
KOG3251	KOG3251	1	0.661971	0.000123	Golgi SNAP receptor complex member
KOG3252	KOG3252	1	0.751152	0.00014	Uncharacterized conserved protein
KOG3255	KOG3255	1	1	0.000187	60S ribosomal protein L9
KOG3256	KOG3256	1	0.75	0.00014	NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit
KOG3257	KOG3257	1	0.839285	0.000157	Mitochondrial/chloroplast ribosomal protein L11
KOG3259	KOG3259	20	5.711656	0.001068	Peptidyl-prolyl cis-trans isomerase
KOG3260	KOG3260	1	0.477678	8.9e-05	Calcyclin-binding protein CacyBP
KOG3262	KOG3262	2	0.679069	0.000127	H/ACA small nucleolar RNP component GAR1
KOG3264	KOG3264	1	0.895927	0.000167	Uncharacterized conserved protein
KOG3265	KOG3265	1	0.516	9.6e-05	Histone chaperone involved in gene silencing
KOG3268	KOG3268	1	0.970085	0.000181	Predicted E3 ubiquitin ligase
KOG3269	KOG3269	1	0.405555	7.5e-05	Predicted membrane protein
KOG3271	KOG3271	1	0.961538	0.000179	Translation initiation factor 5A (eIF-5A)
KOG3272	KOG3272	1	0.990338	0.000185	Predicted coiled-coil protein
KOG3273	KOG3273	1	0.789682	0.000147	Predicted RNA-binding protein Pno1p interacting with Nob1p and involved in 26S proteasome assembly
KOG3274	KOG3274	1	0.909523	0.00017	Uncharacterized conserved protein, AMMECR1
KOG3275	KOG3275	2	1.881889	0.000352	Zinc-binding protein of the histidine triad (HIT) family
KOG3277	KOG3277	1	0.460606	8.6e-05	Uncharacterized conserved protein
KOG3280	KOG3280	1	0.71345	0.000133	Mitochondrial/chloroplast ribosomal protein L17
KOG3281	KOG3281	1	0.641025	0.000119	Mitochondrial F1-ATPase assembly protein
KOG3282	KOG3282	1	0.605263	0.000113	Uncharacterized conserved protein
KOG3283	KOG3283	1	0.97	0.000181	40S ribosomal protein S8
KOG3284	KOG3284	1	0.962441	0.00018	Vacuolar sorting protein VPS28
KOG3285	KOG3285	1	0.990147	0.000185	Spindle assembly checkpoint protein
KOG3286	KOG3286	1	0.566371	0.000105	Selenoprotein T
KOG3288	KOG3288	2	0.749185	0.00014	OTU-like cysteine protease
KOG3289	KOG3289	1	0.934673	0.000174	Uncharacterized conserved protein encoded by sequence overlapping the COX4 gene
KOG3290	KOG3290	5	3.430069	0.000641	Peroxisomal phytanoyl-CoA hydroxylase
KOG3291	KOG3291	1	0.903846	0.000169	Ribosomal protein S7
KOG3292	KOG3292	2	1.714285	0.00032	Predicted membrane protein
KOG3293	KOG3293	1	0.649253	0.000121	Small nuclear ribonucleoprotein (snRNP)
KOG3294	KOG3294	1	0.528735	9.8e-05	WW domain binding protein WBP-2, contains GRAM domain
KOG3295	KOG3295	1	0.931707	0.000174	60S Ribosomal protein L13
KOG3296	KOG3296	1	0.915584	0.000171	Translocase of outer mitochondrial membrane complex, subunit TOM40
KOG3297	KOG3297	1	0.797029	0.000149	DNA-directed RNA polymerase subunit E'
KOG3298	KOG3298	1	1	0.000187	DNA-directed RNA polymerase subunit E'
KOG3299	KOG3299	3	1.553398	0.00029	Uncharacterized conserved protein
KOG3300	KOG3300	1	0.863013	0.000161	NADH:ubiquinone oxidoreductase, B16.6 subunit/cell death-regulatory protein
KOG3301	KOG3301	1	0.994535	0.000186	Ribosomal protein S4
KOG3302	KOG3302	3	2.395	0.000448	TATA-box binding protein (TBP), component of TFIID and TFIIIB
KOG3303	KOG3303	1	0.989583	0.000185	Predicted alpha-helical protein, potentially involved in replication/repair
KOG3304	KOG3304	1	0.844594	0.000157	Surfeit family protein 5
KOG3306	KOG3306	1	0.762162	0.000142	Predicted membrane protein
KOG3307	KOG3307	1	0.813333	0.000152	Molybdopterin converting factor subunit 2
KOG3309	KOG3309	4	2.716981	0.000508	Ferredoxin
KOG3310	KOG3310	1	0.928571	0.000173	Riboflavin synthase alpha chain
KOG3311	KOG3311	1	0.953947	0.000178	Ribosomal protein S18
KOG3313	KOG3313	1	0.935828	0.000175	Molecular chaperone Prefoldin, subunit 3
KOG3314	KOG3314	2	1.520618	0.000284	Ku70-binding protein
KOG3315	KOG3315	1	0.858638	0.00016	Transport protein particle (TRAPP) complex subunit
KOG3316	KOG3316	1	0.969325	0.000181	Transport protein particle (TRAPP) complex subunit
KOG3318	KOG3318	1	0.786516	0.000147	Predicted membrane protein
KOG3319	KOG3319	1	0.895424	0.000167	Predicted membrane protein
KOG3320	KOG3320	1	0.973958	0.000182	40S ribosomal protein S7
KOG3323	KOG3323	2	1.95302	0.000365	D-Tyr-tRNA (Tyr) deacylase
KOG3324	KOG3324	1	0.752427	0.00014	Mitochondrial import inner membrane translocase, subunit TIM23
KOG3325	KOG3325	1	0.989071	0.000185	Membrane coat complex Retromer, subunit VPS29/PEP11
KOG3326	KOG3326	1	0.571428	0.000106	Uncharacterized conserved protein
KOG3327	KOG3327	1	0.985576	0.000184	Thymidylate kinase/adenylate kinase
KOG3328	KOG3328	5	3.716216	0.000695	HGG motif-containing thioesterase
KOG3329	KOG3329	1	0.967567	0.00018	RAN guanine nucleotide release factor
KOG3330	KOG3330	1	0.983606	0.000183	Transport protein particle (TRAPP) complex subunit
KOG3331	KOG3331	1	0.521126	9.7e-05	Mitochondrial/chloroplast ribosomal protein L4/L29
KOG3332	KOG3332	1	0.939271	0.000175	N-acetylglucosaminyl phosphatidylinositol de-N-acetylase
KOG3334	KOG3334	1	0.668918	0.000125	Transcription initiation factor TFIID, subunit TAF9 (also component of histone acetyltransferase SAGA)
KOG3335	KOG3335	1	0.740331	0.000138	Predicted coiled-coil protein
KOG3336	KOG3336	1	0.562162	0.000105	Predicted member of the intramitochondrial sorting protein family
KOG3339	KOG3339	1	0.810426	0.000151	Predicted glycosyltransferase
KOG3341	KOG3341	1	0.819277	0.000153	RNA polymerase II transcription factor complex subunit
KOG3342	KOG3342	1	0.922222	0.000172	Signal peptidase I
KOG3343	KOG3343	1	0.96	0.000179	Vesicle coat complex COPI, zeta subunit
KOG3344	KOG3344	1	0.926666	0.000173	40s ribosomal protein s10
KOG3347	KOG3347	2	1.392045	0.00026	Predicted nucleotide kinase/nuclear protein involved oxidative stress response
KOG3348	KOG3348	1	0.870588	0.000162	BolA (bacterial stress-induced morphogen)-related protein
KOG3349	KOG3349	1	0.982352	0.000183	Predicted glycosyltransferase
KOG3351	KOG3351	1	0.822525	0.000153	Predicted nucleotidyltransferase
KOG3352	KOG3352	1	0.575163	0.000107	Cytochrome c oxidase, subunit Vb/COX4
KOG3353	KOG3353	1	0.994285	0.000185	60S ribosomal protein L22
KOG3355	KOG3355	3	1.604519	0.0003	Mitochondrial sulfhydryl oxidase involved in the biogenesis of cytosolic Fe/S proteins
KOG3357	KOG3357	1	0.736526	0.000137	Uncharacterized conserved protein
KOG3360	KOG3360	1	0.867346	0.000162	Acylphosphatase
KOG3361	KOG3361	1	0.955414	0.000178	Iron binding protein involved in Fe-S cluster formation
KOG3363	KOG3363	1	0.60204	0.000112	Uncharacterized conserved nuclear protein
KOG3364	KOG3364	1	0.422818	7.9e-05	Membrane protein involved in organellar division
KOG3365	KOG3365	1	0.586206	0.000109	NADH:ubiquinone oxidoreductase, NDUFA5/B13 subunit
KOG3366	KOG3366	1	0.790697	0.000147	Mitochondrial F1F0-ATP synthase, subunit d/ATP7
KOG3367	KOG3367	1	0.921296	0.000172	Hypoxanthine-guanine phosphoribosyltransferase
KOG3368	KOG3368	1	0.95	0.000177	Transport protein particle (TRAPP) complex subunit
KOG3369	KOG3369	1	0.527638	9.8e-05	Transport protein particle (TRAPP) complex subunit
KOG3370	KOG3370	2	1.971428	0.000368	dUTPase
KOG3372	KOG3372	1	0.994318	0.000186	Signal peptidase complex subunit
KOG3373	KOG3373	1	0.988372	0.000184	Glycine cleavage system H protein (lipoate-binding)
KOG3374	KOG3374	1	0.823809	0.000154	Cellular repressor of transcription
KOG3376	KOG3376	6	2.5502	0.000477	Uncharacterized conserved protein
KOG3377	KOG3377	1	0.895104	0.000167	Uncharacterized conserved protein
KOG3378	KOG3378	1	0.927272	0.000173	Hemoglobin-like flavoprotein
KOG3380	KOG3380	1	0.802631	0.00015	Actin-related protein Arp2/3 complex, subunit ARPC5
KOG3381	KOG3381	1	0.956521	0.000178	Uncharacterized conserved protein
KOG3382	KOG3382	1	0.529801	9.9e-05	NADH:ubiquinone oxidoreductase, B17.2 subunit
KOG3384	KOG3384	1	0.954545	0.000178	Selenoprotein
KOG3385	KOG3385	1	0.847457	0.000158	V-SNARE
KOG3386	KOG3386	3	2.348387	0.000439	Copper transporter
KOG3387	KOG3387	1	0.977099	0.000182	60S ribosomal protein 15.5kD/SNU13, NHP2/L7A family (includes ribonuclease P subunit p38), involved in splicing
KOG3389	KOG3389	2	0.926966	0.000173	NADH:ubiquinone oxidoreductase, NDUFS4/18 kDa subunit
KOG3390	KOG3390	1	0.666666	0.000124	General control of amino-acid synthesis 5-like 1
KOG3393	KOG3393	1	0.828025	0.000154	Predicted membrane protein
KOG3394	KOG3394	3	0.812749	0.000152	Protein OS-9
KOG3395	KOG3395	1	0.495934	9.2e-05	Uncharacterized conserved protein
KOG3397	KOG3397	1	0.622222	0.000116	Acetyltransferases
KOG3398	KOG3398	1	0.918518	0.000171	Transcription factor MBF1
KOG3399	KOG3399	3	2.188524	0.000409	Predicted Yippee-type zinc-binding protein
KOG3400	KOG3400	1	0.993006	0.000185	RNA polymerase subunit 8
KOG3401	KOG3401	1	1	0.000187	60S ribosomal protein L26
KOG3403	KOG3403	1	0.813793	0.000152	Translation initiation factor 1A (eIF-1A)
KOG3404	KOG3404	1	1	0.000187	G10 protein/predicted nuclear transcription regulator
KOG3405	KOG3405	1	0.566176	0.000105	RNA polymerase subunit K
KOG3406	KOG3406	1	0.985074	0.000184	40S ribosomal protein S12
KOG3407	KOG3407	1	0.324503	6e-05	Uncharacterized conserved protein
KOG3408	KOG3408	1	0.798449	0.000149	U1-like Zn-finger-containing protein, probabl erole in RNA processing/splicing
KOG3409	KOG3409	1	0.943005	0.000176	Exosomal 3'-5' exoribonuclease complex, subunit ski4 (Csl4)
KOG3410	KOG3410	1	0.433333	8.1e-05	Conserved alpha-helical protein
KOG3411	KOG3411	1	0.951048	0.000177	40S ribosomal protein S19
KOG3412	KOG3412	1	0.902255	0.000168	60S ribosomal protein L28
KOG3413	KOG3413	1	0.660256	0.000123	Mitochondrial matrix protein frataxin, involved in Fe/S protein biosynthesis
KOG3414	KOG3414	1	1	0.000187	Component of the U4/U6.U5 snRNP/mitosis protein DIM1
KOG3418	KOG3418	1	1	0.000187	60S ribosomal protein L27
KOG3419	KOG3419	1	0.883928	0.000165	Mitochondrial/chloroplast ribosomal protein S16
KOG3420	KOG3420	1	0.983783	0.000184	Predicted RNA methylase
KOG3421	KOG3421	1	0.838235	0.000156	60S ribosomal protein L14
KOG3423	KOG3423	1	0.573863	0.000107	Transcription initiation factor TFIID, subunit TAF10 (also component of histone acetyltransferase SAGA)
KOG3424	KOG3424	1	0.590909	0.00011	40S ribosomal protein S24
KOG3425	KOG3425	1	0.5	9.3e-05	Uncharacterized conserved protein
KOG3426	KOG3426	1	0.645161	0.00012	NADH:ubiquinone oxidoreductase, NDUFA6/B14 subunit
KOG3428	KOG3428	1	0.807339	0.000151	Small nuclear ribonucleoprotein SMD1 and related snRNPs
KOG3429	KOG3429	1	0.854651	0.000159	Predicted peptidyl-tRNA hydrolase
KOG3430	KOG3430	8	6.7	0.001253	Dynein light chain type 1
KOG3431	KOG3431	1	0.72093	0.000134	Apoptosis-related protein/predicted DNA-binding protein
KOG3432	KOG3432	1	0.925619	0.000173	Vacuolar H+-ATPase V1 sector, subunit F
KOG3433	KOG3433	1	0.970443	0.000181	Protein involved in meiotic recombination/predicted coiled-coil protein
KOG3434	KOG3434	1	0.864	0.000161	60S ribosomal protein L22
KOG3435	KOG3435	1	0.496062	9.2e-05	Mitochondrial/chloroplast ribosomal protein L54/L37
KOG3436	KOG3436	1	1	0.000187	60S ribosomal protein L35
KOG3437	KOG3437	2	1.635869	0.000306	Anaphase-promoting complex (APC), subunit 10
KOG3438	KOG3438	1	0.838095	0.000156	DNA-directed RNA polymerase, subunit L
KOG3440	KOG3440	1	0.762295	0.000142	Ubiquinol cytochrome c reductase, subunit QCR7
KOG3442	KOG3442	1	0.863636	0.000161	Uncharacterized conserved protein
KOG3444	KOG3444	1	0.991735	0.000185	Uncharacterized conserved protein
KOG3445	KOG3445	1	0.77931	0.000145	Mitochondrial/chloroplast ribosomal protein 36a
KOG3446	KOG3446	1	0.824742	0.000154	NADH:ubiquinone oxidoreductase NDUFA2/B8 subunit
KOG3448	KOG3448	2	1.875	0.00035	Predicted snRNP core protein
KOG3449	KOG3449	2	1.160714	0.000217	60S acidic ribosomal protein P2
KOG3450	KOG3450	1	0.613445	0.000114	Huntingtin interacting protein HYPK
KOG3451	KOG3451	1	0.943661	0.000176	Uncharacterized conserved protein
KOG3452	KOG3452	1	0.95098	0.000177	60S ribosomal protein L36
KOG3453	KOG3453	1	0.936363	0.000175	Cytochrome c
KOG3454	KOG3454	1	0.296969	5.5e-05	U1 snRNP-specific protein C
KOG3456	KOG3456	1	0.441666	8.2e-05	NADH:ubiquinone oxidoreductase, NDUFS6/13 kDa subunit
KOG3457	KOG3457	1	0.693181	0.000129	Sec61 protein translocation complex, beta subunit
KOG3458	KOG3458	1	0.558823	0.000104	NADH:ubiquinone oxidoreductase, NDUFA8/PGIV/19 kDa subunit
KOG3459	KOG3459	1	0.842105	0.000157	Small nuclear ribonucleoprotein (snRNP) Sm core protein
KOG3460	KOG3460	1	0.98901	0.000185	Small nuclear ribonucleoprotein (snRNP) LSM3
KOG3462	KOG3462	1	0.847619	0.000158	Predicted membrane protein
KOG3464	KOG3464	1	0.95283	0.000178	60S ribosomal protein L44
KOG3465	KOG3465	1	0.872093	0.000163	Signal recognition particle, subunit Srp9
KOG3466	KOG3466	1	0.585987	0.000109	NADH:ubiquinone oxidoreductase, NDUFB9/B22 subunit
KOG3467	KOG3467	3	3	0.000561	Histone H4
KOG3468	KOG3468	1	0.5625	0.000105	NADH:ubiquinone oxidoreductase, NDUFB7/B18 subunit
KOG3469	KOG3469	1	0.767857	0.000143	Cytochrome c oxidase, subunit VIa/COX13
KOG3470	KOG3470	1	0.962616	0.00018	Beta-tubulin folding cofactor A
KOG3471	KOG3471	1	0.817204	0.000152	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, subunit TFB2
KOG3472	KOG3472	1	0.928571	0.000173	Predicted small membrane protein
KOG3473	KOG3473	1	0.848214	0.000158	RNA polymerase II transcription elongation factor Elongin/SIII, subunit elongin C
KOG3474	KOG3474	1	1	0.000187	Molybdopterin converting factor, small subunit
KOG3475	KOG3475	1	0.956521	0.000178	60S ribosomal protein L37
KOG3477	KOG3477	1	0.721649	0.000134	Putative cytochrome c oxidase, subunit COX19
KOG3478	KOG3478	1	0.991666	0.000185	Prefoldin subunit 6, KE2 family
KOG3479	KOG3479	1	0.771084	0.000144	Mitochondrial import inner membrane translocase, subunit TIM9
KOG3480	KOG3480	1	0.833333	0.000155	Mitochondrial import inner membrane translocase, subunits TIM10/TIM12
KOG3481	KOG3481	1	0.83908	0.000156	Uncharacterized conserved protein
KOG3482	KOG3482	1	0.911392	0.00017	Small nuclear ribonucleoprotein (snRNP) SMF
KOG3483	KOG3483	1	0.87234	0.000163	Uncharacterized conserved protein
KOG3484	KOG3484	1	0.846153	0.000158	Cyclin-dependent protein kinase CDC28, regulatory subunit CKS1, and related proteins
KOG3485	KOG3485	1	0.918604	0.000171	Uncharacterized conserved protein
KOG3486	KOG3486	1	0.903614	0.000169	40S ribosomal protein S21
KOG3487	KOG3487	1	0.971223	0.000181	TRAPP 20 K subunit
KOG3489	KOG3489	1	0.686046	0.000128	Mitochondrial import inner membrane translocase, subunit TIM8
KOG3490	KOG3490	1	0.909909	0.00017	Transcription elongation factor SPT4
KOG3491	KOG3491	1	0.630769	0.000117	Predicted membrane protein
KOG3492	KOG3492	1	0.977777	0.000182	Ribosome biogenesis protein NIP7
KOG3493	KOG3493	1	1	0.000187	Ubiquitin-like protein
KOG3494	KOG3494	1	0.666666	0.000124	Ubiquinol cytochrome c oxidoreductase, subunit QCR9
KOG3495	KOG3495	1	0.74	0.000138	Mitochondrial F1F0-ATP synthase, subunit epsilon/ATP15
KOG3496	KOG3496	1	0.652777	0.000122	Cytochrome c oxidase assembly protein/Cu2+ chaperone COX17
KOG3497	KOG3497	1	0.956521	0.000178	DNA-directed RNA polymerase, subunit RPB10
KOG3498	KOG3498	1	0.940298	0.000175	Preprotein translocase, gamma subunit
KOG3499	KOG3499	1	1	0.000187	60S ribosomal protein L38
KOG3500	KOG3500	1	0.45238	8.4e-05	Vacuolar H+-ATPase V0 sector, subunit M9.7 (M9.2)
KOG3502	KOG3502	1	0.939393	0.000175	40S ribosomal protein S28
KOG3503	KOG3503	1	0.96875	0.000181	H/ACA snoRNP complex, subunit NOP10
KOG3504	KOG3504	1	0.547619	0.000102	60S ribosomal protein L29
KOG3505	KOG3505	1	0.872727	0.000163	Mitochondrial/chloroplast ribosomal protein L33-like
KOG3506	KOG3506	1	0.910714	0.00017	40S ribosomal protein S29
KOG3507	KOG3507	1	0.82258	0.000153	DNA-directed RNA polymerase, subunit RPB7.0
KOG3509	KOG3509	1	0.25	4.6e-05	Basement membrane-specific heparan sulfate proteoglycan (HSPG) core protein
KOG3511	KOG3511	1	0.580555	0.000108	Sortilin and related receptors
KOG3513	KOG3513	9	1.522359	0.000284	Neural cell adhesion molecule L1
KOG3514	KOG3514	1	0.144563	2.7e-05	Neurexin III-alpha
KOG3518	KOG3518	5	1.631477	0.000305	Putative guanine nucleotide exchange factor
KOG3519	KOG3519	1	0.207671	3.8e-05	Invasion-inducing protein TIAM1/CDC24 and related RhoGEF GTPases
KOG3520	KOG3520	1	0.260497	4.8e-05	Predicted guanine nucleotide exchange factor
KOG3523	KOG3523	2	0.579856	0.000108	Putative guanine nucleotide exchange factor TIM
KOG3524	KOG3524	1	0.238823	4.4e-05	Predicted guanine nucleotide exchange factor (PEBBLE)
KOG3527	KOG3527	1	0.175155	3.2e-05	Erythrocyte membrane protein 4.1 and related proteins of the ERM family
KOG3530	KOG3530	2	1.03409	0.000193	FERM domain protein EHM2
KOG3531	KOG3531	1	0.075289	1.4e-05	Rho guanine nucleotide exchange factor CDEP
KOG3533	KOG3533	1	0.060236	1.1e-05	Inositol 1,4,5-trisphosphate receptor
KOG3534	KOG3534	1	0.766959	0.000143	p53 inducible protein PIR121
KOG3538	KOG3538	1	0.078106	1.4e-05	Disintegrin metalloproteinases with thrombospondin repeats
KOG3539	KOG3539	2	0.427165	7.9e-05	Spondins, extracellular matrix proteins
KOG3541	KOG3541	1	0.283018	5.2e-05	Predicted guanine nucleotide exchange factor
KOG3542	KOG3542	3	0.360093	6.7e-05	cAMP-regulated guanine nucleotide exchange factor
KOG3548	KOG3548	3	0.844387	0.000157	DNA damage checkpoint protein RHP9/CRB2/53BP1
KOG3549	KOG3549	1	0.243564	4.5e-05	Syntrophins (type gamma)
KOG3563	KOG3563	1	0.204845	3.8e-05	Forkhead/HNF-3-related transcription factor
KOG3566	KOG3566	1	0.604538	0.000113	Glycosylphosphatidylinositol anchor attachment protein GAA1
KOG3569	KOG3569	5	3.221176	0.000602	RAS signaling inhibitor ST5
KOG3570	KOG3570	1	0.159319	2.9e-05	MAPK-activating protein DENN
KOG3572	KOG3572	3	0.333333	6.2e-05	Uncharacterized conserved protein, contains DEP domain
KOG3574	KOG3574	1	0.941176	0.000176	Acetyl-CoA transporter
KOG3576	KOG3576	1	0.348314	6.5e-05	Ovo and related transcription factors
KOG3578	KOG3578	1	0.520793	9.7e-05	Uncharacterized conserved protein
KOG3581	KOG3581	3	2.292011	0.000428	Creatine kinases
KOG3582	KOG3582	1	0.317757	5.9e-05	Mlx interactors and related transcription factors
KOG3587	KOG3587	1	0.832167	0.000155	Galectin, galactose-binding lectin
KOG3589	KOG3589	26	14.638009	0.002738	G protein signaling regulators
KOG3595	KOG3595	21	17.968215	0.003361	Dyneins, heavy chain
KOG3598	KOG3598	17	1.594594	0.000298	Thyroid hormone receptor-associated protein complex, subunit TRAP230
KOG3599	KOG3599	15	5.612781	0.001049	Ca2+-modulated nonselective cation channel polycystin
KOG3602	KOG3602	3	0.977381	0.000182	WD40 repeat-containing protein
KOG3604	KOG3604	1	0.258928	4.8e-05	Pecanex
KOG3607	KOG3607	12	4.808659	0.000899	Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family
KOG3609	KOG3609	1	0.538929	0.0001	Receptor-activated Ca2+-permeable cation channels (STRPC family)
KOG3610	KOG3610	12	3.400975	0.000636	Plexins (functional semaphorin receptors)
KOG3616	KOG3616	1	0.94621	0.000177	Selective LIM binding factor
KOG3617	KOG3617	2	1.753531	0.000328	WD40 and TPR repeat-containing protein
KOG3619	KOG3619	3	0.286821	5.3e-05	Adenylate/guanylate cyclase
KOG3620	KOG3620	3	0.54797	0.000102	Uncharacterized conserved protein
KOG3623	KOG3623	4	0.415094	7.7e-05	Homeobox transcription factor SIP1
KOG3624	KOG3624	2	1.854439	0.000346	M13 family peptidase
KOG3627	KOG3627	22	17.90625	0.003349	Trypsin
KOG3628	KOG3628	1	0.078503	1.4e-05	Predicted AMP-binding protein
KOG3629	KOG3629	1	0.135989	2.5e-05	Guanine-nucleotide releasing factor
KOG3630	KOG3630	3	0.496797	9.2e-05	Nuclear pore complex, Nup214/CAN component
KOG3636	KOG3636	1	0.101644	1.9e-05	Uncharacterized conserved protein, contains TBC and Rhodanese domains
KOG3637	KOG3637	3	0.547572	0.000102	Vitronectin receptor, alpha subunit
KOG3638	KOG3638	2	1.128019	0.000211	Sonic hedgehog and related proteins
KOG3639	KOG3639	4	1.365617	0.000255	C2 Ca2+-binding motif-containing protein
KOG3641	KOG3641	4	2.241538	0.000419	Zinc carboxypeptidase
KOG3645	KOG3645	3	1.184855	0.000221	Acetylcholine receptor
KOG3647	KOG3647	1	0.905325	0.000169	Predicted coiled-coil protein
KOG3654	KOG3654	1	0.409604	7.6e-05	Uncharacterized CH domain protein
KOG3655	KOG3655	4	1.057851	0.000197	Drebrins and related actin binding proteins
KOG3658	KOG3658	3	0.543193	0.000101	Tumor necrosis factor-alpha-converting enzyme (TACE/ADAM17) and related metalloproteases
KOG3660	KOG3660	2	1.405405	0.000262	Sodium-neurotransmitter symporter
KOG3661	KOG3661	3	0.342492	6.4e-05	Uncharacterized conserved protein
KOG3662	KOG3662	2	1.546341	0.000289	Cell division control protein/predicted DNA repair exonuclease
KOG3664	KOG3664	2	1.121121	0.000209	Predicted patched transmembrane receptor
KOG3666	KOG3666	1	0.978965	0.000183	Uncharacterized conserved protein
KOG3667	KOG3667	2	0.200879	3.7e-05	STAT protein
KOG3671	KOG3671	4	1.137082	0.000212	Actin regulatory protein (Wiskott-Aldrich syndrome protein)
KOG3676	KOG3676	2	0.346547	6.4e-05	Ca2+-permeable cation channel OSM-9 and related channels (OTRPC family)
KOG3677	KOG3677	1	0.927619	0.000173	RNA polymerase I-associated factor - PAF67
KOG3678	KOG3678	3	0.375	7e-05	SARM protein (with sterile alpha and armadillo motifs)
KOG3679	KOG3679	1	0.950124	0.000177	Predicted coiled-coil protein
KOG3682	KOG3682	1	0.703225	0.000131	Predicted membrane protein (associated with esophageal cancer in humans)
KOG3683	KOG3683	1	0.147826	2.7e-05	Uncharacterized conserved protein
KOG3685	KOG3685	2	0.454409	8.5e-05	Uncharacterized conserved protein
KOG3688	KOG3688	1	0.294223	5.5e-05	Cyclic GMP phosphodiesterase
KOG3689	KOG3689	17	5.560113	0.00104	Cyclic nucleotide phosphodiesterase
